61.153.58.144/30,Yunnan,Ximeng
124.31.80.0/20,Tibet Autonomous Region,Xigazê
124.31.96.0/21,Tibet Autonomous Region,Xigazê
60.190.98.224/29,Yunnan,Shengping
61.164.100.16/29,Yunnan,Shengping
103.13.220.0/22,Yunnan,Shengping
103.241.160.0/22,Yunnan,Shengping
116.193.152.0/22,Yunnan,Shengping
122.228.159.208/30,Yunnan,Shengping
173.253.104.0/21,Yunnan,Shengping
202.96.191.128/26,Yunnan,Shengping
202.97.251.112/28,Yunnan,Shengping
202.97.251.128/32,Yunnan,Shengping
202.97.253.96/28,Yunnan,Shengping
202.105.18.12/30,Yunnan,Shengping
202.192.16.0/20,Yunnan,Shengping
202.192.224.0/20,Yunnan,Shengping
211.143.187.160/30,Yunnan,Shengping
218.1.43.224/30,Yunnan,Shengping
218.7.184.48/29,Yunnan,Shengping
218.7.184.64/27,Yunnan,Shengping
218.7.187.112/28,Yunnan,Shengping
218.19.95.32/28,Yunnan,Shengping
219.144.206.76/30,Yunnan,Shengping
219.144.235.56/29,Yunnan,Shengping
219.145.89.116/30,Yunnan,Shengping
219.145.89.172/30,Yunnan,Shengping
220.189.241.116/30,Yunnan,Shengping
124.31.136.0/21,Tibet Autonomous Region,Chamdo
124.31.144.0/20,Tibet Autonomous Region,Chamdo
124.31.244.0/27,Tibet Autonomous Region,Chamdo
124.31.244.64/26,Tibet Autonomous Region,Chamdo
124.31.244.128/27,Tibet Autonomous Region,Chamdo
124.31.247.64/27,Tibet Autonomous Region,Chamdo
124.31.247.160/27,Tibet Autonomous Region,Chamdo
115.239.237.208/29,Tibet Autonomous Region,Nyingchi County
124.31.120.0/21,Tibet Autonomous Region,Nyingchi County
124.31.128.0/21,Tibet Autonomous Region,Nyingchi County
124.31.239.0/25,Tibet Autonomous Region,Nyingchi County
124.31.239.128/26,Tibet Autonomous Region,Nyingchi County
124.31.239.192/27,Tibet Autonomous Region,Nyingchi County
124.31.240.64/26,Tibet Autonomous Region,Nyingchi County
58.246.98.56/30,Tibet Autonomous Region,Nangxian
58.246.185.36/30,Tibet Autonomous Region,Nangxian
61.158.22.224/27,Tibet Autonomous Region,Nangxian
122.227.217.196/30,Tibet Autonomous Region,Nangxian
62.100.196.0/22,Xinjiang Uygur Zizhiqu,Miran
61.138.17.128/26,Tibet Autonomous Region,Lung
61.167.29.96/27,Tibet Autonomous Region,Lung
61.185.214.220/30,Tibet Autonomous Region,Lung
61.185.225.44/30,Tibet Autonomous Region,Lung
115.236.85.36/30,Tibet Autonomous Region,Lung
122.227.81.144/30,Tibet Autonomous Region,Lung
183.129.150.88/29,Tibet Autonomous Region,Lung
211.143.188.128/30,Tibet Autonomous Region,Lung
211.143.189.16/29,Tibet Autonomous Region,Lung
211.143.189.64/29,Tibet Autonomous Region,Lung
211.143.189.144/29,Tibet Autonomous Region,Lung
218.7.145.24/29,Tibet Autonomous Region,Lung
218.7.158.64/27,Tibet Autonomous Region,Lung
218.7.201.192/27,Tibet Autonomous Region,Lung
219.129.219.200/29,Tibet Autonomous Region,Lung
220.189.244.164/30,Tibet Autonomous Region,Lung
27.98.224.0/19,Tibet Autonomous Region,Lhasa
43.242.164.0/22,Tibet Autonomous Region,Lhasa
58.32.236.144/28,Tibet Autonomous Region,Lhasa
61.185.20.89/32,Tibet Autonomous Region,Lhasa
61.185.20.90/31,Tibet Autonomous Region,Lhasa
61.185.20.92/30,Tibet Autonomous Region,Lhasa
61.185.20.96/29,Tibet Autonomous Region,Lhasa
61.185.20.104/32,Tibet Autonomous Region,Lhasa
101.248.0.0/15,Tibet Autonomous Region,Lhasa
103.3.124.0/22,Tibet Autonomous Region,Lhasa
103.22.44.0/22,Tibet Autonomous Region,Lhasa
113.62.0.0/15,Tibet Autonomous Region,Lhasa
124.31.0.0/18,Tibet Autonomous Region,Lhasa
124.31.64.0/20,Tibet Autonomous Region,Lhasa
124.31.176.0/20,Tibet Autonomous Region,Lhasa
124.31.192.0/19,Tibet Autonomous Region,Lhasa
124.31.224.0/22,Tibet Autonomous Region,Lhasa
124.31.228.0/24,Tibet Autonomous Region,Lhasa
124.31.229.32/27,Tibet Autonomous Region,Lhasa
124.31.229.64/26,Tibet Autonomous Region,Lhasa
124.31.229.128/25,Tibet Autonomous Region,Lhasa
124.31.230.0/23,Tibet Autonomous Region,Lhasa
124.31.232.0/25,Tibet Autonomous Region,Lhasa
124.31.232.128/27,Tibet Autonomous Region,Lhasa
124.31.232.192/27,Tibet Autonomous Region,Lhasa
124.31.233.0/24,Tibet Autonomous Region,Lhasa
124.31.234.0/23,Tibet Autonomous Region,Lhasa
124.31.236.0/23,Tibet Autonomous Region,Lhasa
124.31.238.0/24,Tibet Autonomous Region,Lhasa
124.31.239.224/27,Tibet Autonomous Region,Lhasa
124.31.240.0/26,Tibet Autonomous Region,Lhasa
124.31.240.128/25,Tibet Autonomous Region,Lhasa
124.31.241.0/26,Tibet Autonomous Region,Lhasa
124.31.241.64/27,Tibet Autonomous Region,Lhasa
124.31.241.128/25,Tibet Autonomous Region,Lhasa
124.31.242.0/23,Tibet Autonomous Region,Lhasa
124.31.244.160/27,Tibet Autonomous Region,Lhasa
124.31.244.192/26,Tibet Autonomous Region,Lhasa
124.31.245.0/24,Tibet Autonomous Region,Lhasa
124.31.246.0/24,Tibet Autonomous Region,Lhasa
124.31.247.0/26,Tibet Autonomous Region,Lhasa
124.31.247.96/27,Tibet Autonomous Region,Lhasa
124.31.247.128/27,Tibet Autonomous Region,Lhasa
124.31.247.192/26,Tibet Autonomous Region,Lhasa
124.31.248.0/24,Tibet Autonomous Region,Lhasa
124.31.249.0/25,Tibet Autonomous Region,Lhasa
124.31.249.160/27,Tibet Autonomous Region,Lhasa
124.31.250.0/23,Tibet Autonomous Region,Lhasa
124.31.252.0/23,Tibet Autonomous Region,Lhasa
124.31.254.0/24,Tibet Autonomous Region,Lhasa
124.31.255.0/25,Tibet Autonomous Region,Lhasa
124.31.255.192/26,Tibet Autonomous Region,Lhasa
202.98.224.0/19,Tibet Autonomous Region,Lhasa
210.41.0.0/20,Tibet Autonomous Region,Lhasa
210.41.16.0/21,Tibet Autonomous Region,Lhasa
218.91.208.112/30,Tibet Autonomous Region,Lhasa
219.151.32.0/19,Tibet Autonomous Region,Lhasa
220.182.0.0/22,Tibet Autonomous Region,Lhasa
220.182.7.0/24,Tibet Autonomous Region,Lhasa
220.182.8.0/21,Tibet Autonomous Region,Lhasa
220.182.16.0/22,Tibet Autonomous Region,Lhasa
220.182.20.0/24,Tibet Autonomous Region,Lhasa
220.182.59.0/24,Tibet Autonomous Region,Lhasa
220.182.60.0/22,Tibet Autonomous Region,Lhasa
221.13.64.0/19,Tibet Autonomous Region,Lhasa
222.19.64.0/19,Tibet Autonomous Region,Lhasa
222.19.96.0/22,Tibet Autonomous Region,Lhasa
222.19.112.0/20,Tibet Autonomous Region,Lhasa
223.129.240.0/20,Tibet Autonomous Region,Lhasa
122.227.92.204/30,Qinghai Sheng,Kecheng
218.72.250.8/30,Qinghai Sheng,Kecheng
124.88.208.0/21,Xinjiang Uygur Zizhiqu,Kashgar
124.88.236.0/22,Xinjiang Uygur Zizhiqu,Kashgar
218.195.192.0/20,Xinjiang Uygur Zizhiqu,Kashgar
61.134.20.16/29,Sichuan Sheng,Gaiyu
60.191.255.212/30,Xinjiang Uygur Zizhiqu,Jiya
59.75.141.0/24,Xinjiang Uygur Zizhiqu,Yining
115.155.192.0/20,Xinjiang Uygur Zizhiqu,Yining
115.155.208.0/21,Xinjiang Uygur Zizhiqu,Yining
219.247.32.0/20,Xinjiang Uygur Zizhiqu,Yining
42.247.2.184/29,Xinjiang Uygur Zizhiqu,Ürümqi
42.247.6.192/29,Xinjiang Uygur Zizhiqu,Ürümqi
43.242.153.0/24,Xinjiang Uygur Zizhiqu,Ürümqi
43.242.154.0/23,Xinjiang Uygur Zizhiqu,Ürümqi
49.112.0.0/13,Xinjiang Uygur Zizhiqu,Ürümqi
49.209.16.0/20,Xinjiang Uygur Zizhiqu,Ürümqi
49.209.32.0/19,Xinjiang Uygur Zizhiqu,Ürümqi
58.254.17.4/30,Xinjiang Uygur Zizhiqu,Ürümqi
59.75.128.0/21,Xinjiang Uygur Zizhiqu,Ürümqi
59.75.136.0/22,Xinjiang Uygur Zizhiqu,Ürümqi
